video_id,video_title,upload_date,view_count,like_count,favorite_count,comment_count
klABhygfBJI,El Súper Increíble Podcast de Nanutria   Las Venecas   EP 15,2019-03-27,11666,524,0,66
Hg2TUMwCln8,Conversaciones: ¿Qué es la venezolanidad? con Elio Casale,2019-03-22,11822,372,0,71
tCZltjm_TE0,El Súper Increíble Podcast de Nanutria   Michael Jackson ¿Culpable o inocente?   EP 14,2019-03-20,10361,429,0,97
UJTy7opV1nQ,El Súper Increíble Podcast de Nanutria   Especial arrechera venezolana   EP 13,2019-03-12,11925,714,0,106
Rg9ewJw2dek,Conversaciones: ¿Qué son las Kardashians? Con Estefanía León y Chucho Roldán,2019-03-08,20030,774,0,114
-I9mX1XDAVs,El Súper Increíble Podcast De Nanutria   Maluma el nuevo caballero del Zodiaco   EP 12,2019-03-06,6071,195,0,37
VW59YP-FwXE,Conversaciones: ¿Estamos peor que antes? con Chris Andrade,2019-03-01,42030,1310,0,145
i25AagMIjB8,El Súper Increíble Podcast de Nanutria   La bachata cristiana   EP 11,2019-02-27,8737,312,0,35
gtkdOf-BlIc,Conversaciones: ¿Qué va a pasar en Venezuela? Con el Profesor Briceño,2019-02-22,59691,1602,0,195
kaW8Sdf5QVs,El Súper Increíble Podcast de Nanutria   Me metí en un gimnasio   EP 10,2019-02-20,8658,327,0,62
2V3F5T1e3r8,El Súper Increíble Podcast de Nanutria   El día de los enamorados   EP 09,2019-02-13,8448,311,0,50
9jcR-paOX0A,El Súper Increíble Podcast de Nanutria   Adopté a un perro   EP 08,2019-02-06,8107,331,0,71
yKqawDLrrvE,El Súper Increíble Podcast de Nanutria   Qué está pasando en Venezuela   EP 07,2019-01-29,10551,504,0,105
mYI5mAnGlQY,El Súper Increíble Podcast de Nanutria   Los amigovios   EP 06,2019-01-24,9015,434,0,85
4XW1-rqVRCE,El Súper Increíble Podcast de Nanutria   Lo peor del verano   EP 05,2019-01-16,7788,309,0,48
xhXxZrvtMD8,El Súper Increíble Podcast de Nanutria   Ricky Martin vs Chayanne   EP 04,2019-01-09,9105,422,0,94
lxn5ACkRCx8,El Súper Increíble Podcast de Nanutria   Propósitos de año nuevo   EP 03,2019-01-02,7054,363,0,47
nttZzRqXUHg,El Súper Increíble Podcast de Nanutria   Llegó la navidad   EP 02,2018-12-24,8764,421,0,50
VXIh41FDeT4,El Súper Increíble Podcast de Nanutria   El Miss Universo   EP 01,2018-12-19,15969,623,0,82
STg65ZdYkec,El Súper Increíble Podcast de Nanutria   Episodio 0.,2018-12-17,16580,807,0,71
vQvXWjVl6SI,Pobre Darwin: El What The Fluff Challenge,2018-07-15,10830,827,0,37
A3XB7b-f2wY,Entrevista a alguien que vende NUD3S,2018-07-08,70305,2692,0,227
BCEz_RleIAI,Pobre Darwin: Dedicado a Maradona,2018-07-01,9529,738,0,37
p_I8Cz7WhJQ,Pobre Darwin: La gente que daña el mundial,2018-06-24,12592,834,0,33
LG350Ujudco,Pobre Darwin: La mejor técnica de defensa personal,2018-06-17,9075,826,0,62
PBtWU4wsJsU,Pobre Darwin: La peor despedida de soltera del mundo,2018-06-10,16964,949,0,57
Zqt9JMNy1VQ,Pobre Darwin: Bad Bunny nos enseña trucos de belleza.,2018-06-03,18884,1189,0,51
N87Yh475JmA,Pobre Darwin: El personaje oculto en Luis Miguel la serie.,2018-05-27,14501,993,0,49
os-9py_Rz90,Pobre Darwin: Cómo hacer feliz a tu novia,2018-05-20,17202,1168,0,39
8PAETq6JVXc,Pobre Darwin: Las ratas drogadictas,2018-05-13,20518,1384,0,48
e88dFROZ_Do,Pobre Darwin: El reto de la lavadora.,2018-05-07,20694,1240,0,70
B0HmEa-kIpM,Nanututoriales: Cómo quedar satisfechos con el corte de pelo.,2018-01-06,4435,321,0,9
8mDcxBSuwx0,Nanututoriales: Cómo escuchar Reggaeton viejo.,2018-01-03,5698,337,0,13
PtViHmnSJ7A,Nanututoriales: Cómo comer chile como un macho.,2017-12-21,3120,250,0,13
K3IzXII4VsY,Nanututoriales: Cómo tener unas cejas a la moda.,2017-12-15,5175,354,0,11
UqBtm7ujeoE,La papada.,2017-11-19,4351,266,0,11
CwLBG7Tdd3s,El trap bancario,2017-10-26,14312,1016,0,41
sIg0rzws89w,Ay ay ay,2017-10-10,8865,551,0,18
ysCevT16WrY,"Dale, yo te aviso.",2017-09-28,13599,757,0,26
ZtBLwp4lxCk,La cura para la depresión,2017-09-22,16875,1038,0,38
7rodcCPBOi0,Decepción de domingo.,2017-09-15,6889,476,0,13
5hoZJlBBFf4,Video para tu amigo mala paga,2017-06-22,34784,1753,0,30
9iGSXuoBbVY,Víctor Medina (Nanutria) Stand Up: Lo bueno del chisme y el tamaño del pene.,2017-06-16,126681,3200,0,41
2yj8yjcTlG4,Lo que busco en una mujer,2017-06-15,6726,385,0,8
N87SReaDO3M,¿Qué es FLINCHY?,2017-06-12,22939,406,0,22
bUBT10RhYEw,A los chicos de verdad les gusta el Pollo Brito.,2015-10-08,14925,462,0,35
nGKD51RqFUc,Nanutria (Stand Up) Las Mentiras del Facebook y las mujeres,2014-11-17,37048,615,0,8
goCIceH_j5Q,Nanutria (Stand Up): Las películas de Terror y las películas porno.,2014-11-17,37391,606,0,7
B-YjYw3d6f8,Mi participación rechazada para la Chica E! Venezuela 2014 #ChicaE,2014-10-07,49481,799,0,46
Hklvg1HyKFs,El Súper Increíble WebShow de Nanutria: Los Eslogans de Publicidad,2014-05-25,21777,713,0,22
n4zXOBaYlbQ,El Súper Increíble WebShow de Nanutria: Las poses en las fotos,2014-05-15,22938,608,0,19
wr5S4_CpfGk,El Súper Increíble WebShow de Nanutria: Las historias de Disney,2014-05-07,25447,697,0,30
jy17PSToiMA,El Súper Increíble WebShow De Nanutria: Las Tortugas,2014-04-29,20803,468,0,31
MRXKk2OBtdM,Mister Musculo,2012-10-16,12455,290,0,20
